Pilot ID,Name,Contact Information,Airline/Organization,Job Title,Training Enrollment Date,Training Status,Verification Status,Verification Date,Simulator Type,Training Program,Session Start Date,Session End Date,Session Frequency,Session Records,Training Cost,Subsidy Amount,Final Cost to Pilot,Enrollment Method,Coordinator,Comments/Notes,Compliance Status,Audits,Last Update Date,Report Generation Date,Data Extraction Date,Statistical Metrics
1c3fcafa,Julia Baker,charles75@clark.com,Bates-Taylor,Press sub,2023-12-11,In Progress,Rejected,2022-03-27,CAE Simfinity XR Series,Initial Pilot Training,2024-02-29,2024-01-10,Bi-weekly,3,3409,2772,1817,In-person,Patrick Ho,Manage never economic soon western.,Compliant,Manager or work concern per.,2024-04-13,2024-04-14,2024-05-20,Avg Usage: 8 sessions/month
5f0059da,James Lawson,mpeterson@gmail.com,Avery-Dalton,Meteorologist,2021-05-14,Enrolled,Rejected,2023-11-14,CAE Simfinity XR Series,Initial Pilot Training,2024-07-24,2024-02-02,Bi-weekly,1,5548,650,4924,In-person,Robert Perkins,Never not interest program exist.,Compliant,Baby simply PM picture.,2024-07-19,2024-05-29,2024-03-10,Avg Usage: 7 sessions/month
b7fe6184,Rachel Sanchez,vpatterson@arias.com,Robles-Mills,Video editor,2022-09-11,Enrolled,Rejected,2021-04-17,CAE Simfinity XR Series,Initial Pilot Training,2024-07-28,2024-04-06,Bi-weekly,3,6498,3432,1573,In-person,Aaron Lee,One speech space market.,Compliant,Participant prove interest property those coach.,2024-07-20,2024-02-06,2024-04-30,Avg Usage: 3 sessions/month
11aa34cc,Kayla Summers,davenportkatherine@hotmail.com,Bryant-Sanchez,Call centre manager,2024-05-09,Enrolled,Rejected,2021-05-17,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-04-08,2024-08-04,Bi-weekly,8,5141,4404,3018,In-person,Jacqueline Lara,Customer goal quite.,Compliant,Include move protect produce.,2024-07-22,2024-07-31,2024-04-10,Avg Usage: 3 sessions/month
b3bcb49c,Linda Clarke,stacey29@yahoo.com,Gregory LLC,Geochemist,2020-02-11,Enrolled,Verified,2020-04-07,CAE Prodigy Image Generator,Recurrency Training,2024-01-01,2024-07-05,Bi-weekly,9,6685,847,1887,Online,Shelly Hodges,Edge score personal head police machine deep.,Non-Compliant,Condition act kitchen owner during bank.,2024-05-06,2024-02-11,2024-01-30,Avg Usage: 3 sessions/month
c7b5c622,William Edwards,montoyacolin@gmail.com,Lowery PLC,Chief Financial Officer,2020-07-10,Completed,Rejected,2023-08-14,CAE 7000XR Full-Flight,Initial Pilot Training,2024-02-08,2024-07-06,Bi-weekly,6,4819,512,3939,Online,Robert Burke,Charge with lawyer nor word write.,Compliant,And audience senior large next popular it.,2024-07-31,2024-02-21,2024-04-17,Avg Usage: 10 sessions/month
ee8e414e,Brendan Brown,justin67@yahoo.com,Watson-Hernandez,"Administrator, local government",2021-09-18,Completed,Rejected,2024-03-17,CAE Prodigy Image Generator,Initial Pilot Training,2024-06-21,2024-01-30,Monthly,4,4880,4205,2308,In-person,Victoria May,Fact doctor guess imagine exactly.,Compliant,Must heart front often view game.,2024-07-30,2024-02-17,2024-07-28,Avg Usage: 1 sessions/month
33b9bb24,Stephen Wilson,roachjennifer@yahoo.com,Mooney and Sons,Civil Service administrator,2022-03-25,In Progress,Rejected,2022-11-27,CAE 7000XR Full-Flight,Recurrency Training,2024-07-13,2024-01-06,Monthly,2,9458,3133,2227,Online,Christopher Sims,Final small thus seem improve.,Non-Compliant,Community race have.,2024-01-06,2024-02-23,2024-07-05,Avg Usage: 5 sessions/month
6c78b100,Daniel Jones,davisjill@gmail.com,"Oneill, Jones and Wilson",Chartered legal executive (England and Wales),2023-06-17,In Progress,Verified,2020-05-11,CAE Simfinity XR Series,Initial Pilot Training,2024-08-01,2024-03-27,Monthly,9,7845,1760,2446,Online,Eric Nguyen,Purpose might feel PM beautiful.,Non-Compliant,Establish language team side song painting drop sea.,2024-01-04,2024-01-04,2024-04-24,Avg Usage: 7 sessions/month
1611d0e0,Tammy Shepherd,dmorrison@yahoo.com,Jenkins-Taylor,Company secretary,2022-07-23,Completed,Rejected,2020-02-23,CAE Prodigy Image Generator,Recurrency Training,2024-02-07,2024-02-18,Weekly,2,7424,4401,4907,Online,Chelsea Hernandez,Sort high teach author college risk field tend.,Non-Compliant,Outside whatever gun community prepare.,2024-06-05,2024-03-12,2024-08-02,Avg Usage: 1 sessions/month
bfcdd730,Kaitlyn Bernard,rjordan@gmail.com,Fischer-Aguilar,"Conservator, furniture",2021-01-06,In Progress,Pending,2022-03-04,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-06-15,2024-03-08,Weekly,9,2275,3218,974,In-person,Heather Castillo,Result just method statement without.,Non-Compliant,Pay air true approach hot.,2024-06-22,2024-07-20,2024-05-11,Avg Usage: 4 sessions/month
32912ffa,Kayla Cantrell MD,smallsara@mason.net,"Sanchez, Stone and Mcdonald",Systems analyst,2023-06-15,In Progress,Rejected,2021-01-14,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-07-20,2024-06-10,Bi-weekly,2,8616,4766,2639,Online,David Patterson,Fact though trade.,Non-Compliant,Unit stay instead ok personal executive.,2024-06-21,2024-02-02,2024-06-22,Avg Usage: 7 sessions/month
5cdc78e6,Charles Larson,aclarke@gmail.com,Mccullough-Jennings,Ranger/warden,2020-03-03,In Progress,Verified,2022-11-29,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-05-21,2024-06-14,Monthly,4,4252,2928,2909,In-person,Marcus Walters,Before its middle available health food crime lawyer.,Compliant,Last significant whom since college ready inside.,2024-07-20,2024-07-10,2024-03-19,Avg Usage: 5 sessions/month
6fc1fc6f,Sarah Harmon,youngjames@hotmail.com,Smith-Floyd,Call centre manager,2021-01-30,Completed,Verified,2023-05-12,CAE Simfinity XR Series,Initial Pilot Training,2024-06-12,2024-04-11,Weekly,1,2555,3962,1744,In-person,Brittney Richardson,Technology almost deep focus.,Compliant,Debate have explain.,2024-03-17,2024-08-04,2024-02-21,Avg Usage: 6 sessions/month
57077abc,Alexander Levine,phillipsmary@yahoo.com,Vargas-Harper,Curator,2022-06-06,Completed,Rejected,2022-09-26,CAE 7000XR Full-Flight,Recurrency Training,2024-05-02,2024-06-21,Monthly,5,7202,3388,1243,In-person,Lisa Wiggins,Institution since market catch station.,Non-Compliant,Word government structure.,2024-07-04,2024-01-20,2024-08-06,Avg Usage: 2 sessions/month
2fb51b28,Jennifer Huff,abigail89@yahoo.com,"Horn, Martinez and Green",Technical author,2021-05-31,Completed,Verified,2022-03-28,CAE Simfinity XR Series,Recurrency Training,2024-02-08,2024-05-05,Bi-weekly,4,5255,1470,3861,In-person,Jesse Dixon,Nothing send pretty worry.,Non-Compliant,Different fill fire prepare miss against center doctor.,2024-03-09,2024-01-26,2024-05-16,Avg Usage: 7 sessions/month
6b37239f,Curtis Garcia,zgardner@giles-butler.net,"Chen, Coleman and Rich",Research scientist (physical sciences),2024-05-25,Completed,Pending,2023-07-19,CAE 7000XR Full-Flight,Initial Pilot Training,2024-07-20,2024-04-04,Monthly,6,3442,3499,2260,In-person,Jorge Olson,Look already collection also sometimes.,Compliant,Down form let culture.,2024-06-21,2024-05-23,2024-06-10,Avg Usage: 9 sessions/month
34211cec,Stacy Ward,michaeldunn@yahoo.com,"Schwartz, Lane and Dean",Medical sales representative,2023-03-17,In Progress,Verified,2023-12-20,CAE Simfinity XR Series,Recurrency Training,2024-06-09,2024-05-25,Monthly,2,7906,4225,2303,In-person,Paul Ortega,Team hot term piece represent teach.,Compliant,Green amount happy might.,2024-03-06,2024-01-19,2024-05-26,Avg Usage: 7 sessions/month
190722b3,Matthew King,kerrilynn@leonard-garcia.com,Lee and Sons,"Embryologist, clinical",2024-03-27,In Progress,Verified,2021-10-05,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-01-25,2024-07-02,Bi-weekly,3,5860,2082,2952,Online,Sean Curry,Central pretty significant large crime final quickly.,Compliant,East deal gas actually perhaps almost always television.,2024-07-22,2024-08-06,2024-04-26,Avg Usage: 7 sessions/month
093b626a,Glenn Gonzales,christopherlowe@smith.com,Sanchez Inc,"Journalist, magazine",2023-05-30,In Progress,Pending,2023-10-01,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-04-27,2024-02-26,Monthly,7,6488,1540,4861,In-person,Lindsey Austin,Peace risk movement.,Non-Compliant,Reason expert identify poor rich.,2024-01-17,2024-04-10,2024-01-17,Avg Usage: 2 sessions/month
f75aa7a9,Kristin Kelly,pricelisa@brown.info,Wade-Ramirez,Network engineer,2024-08-01,Completed,Rejected,2024-07-10,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-04-27,2024-06-13,Weekly,8,5394,1958,3266,In-person,Katrina Todd,Summer later knowledge sound.,Non-Compliant,Traditional any national operation rate similar.,2024-06-23,2024-02-01,2024-03-31,Avg Usage: 3 sessions/month
04000d1f,Gary Lynn,doughertydominique@gmail.com,Thompson Inc,Occupational therapist,2021-11-15,Enrolled,Verified,2022-08-12,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-06-13,2024-05-24,Weekly,6,3411,1422,2823,In-person,Susan Castillo,Art compare great they culture how.,Compliant,Understand find writer lead.,2024-06-15,2024-03-17,2024-02-03,Avg Usage: 1 sessions/month
e507101b,Michael Moss,wthompson@hotmail.com,Williams Group,Financial planner,2020-03-31,Completed,Pending,2020-03-13,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-01-28,2024-06-04,Bi-weekly,2,3294,1481,2397,In-person,Natalie Petersen,Loss heart present service discuss mind.,Compliant,Mouth coach blue end long see foreign.,2024-04-23,2024-04-27,2024-02-05,Avg Usage: 6 sessions/month
54a8448a,Jessica Richardson,emily74@park-pierce.org,Kelly LLC,"Radiographer, therapeutic",2021-07-31,Completed,Verified,2022-11-22,CAE Prodigy Image Generator,Initial Pilot Training,2024-04-09,2024-01-30,Bi-weekly,4,8118,1909,3770,In-person,Kayla Campos,Individual everyone build month audience group.,Compliant,Technology think any every learn southern affect best.,2024-01-18,2024-04-11,2024-01-21,Avg Usage: 6 sessions/month
a49456f4,Crystal Wilson,baileyallen@wood-murphy.com,Schroeder-Martinez,Press sub,2021-10-16,In Progress,Verified,2022-05-28,CAE Simfinity XR Series,Recurrency Training,2024-04-15,2024-05-18,Bi-weekly,8,9487,4628,3796,Online,Jason Mccall,Modern wind whether crime allow customer inside down.,Non-Compliant,Actually mention main theory hope she hotel.,2024-04-19,2024-03-11,2024-08-03,Avg Usage: 5 sessions/month
999ba4ff,Victoria Greene,benjamin14@blackburn-edwards.com,Spears and Sons,Primary school teacher,2024-07-04,Enrolled,Pending,2023-12-21,CAE 7000XR Full-Flight,Recurrency Training,2024-07-28,2024-02-23,Bi-weekly,1,9786,818,3002,In-person,Nathan Welch,Much main matter economic office.,Non-Compliant,Agreement fear enjoy you similar get.,2024-07-17,2024-03-25,2024-07-22,Avg Usage: 3 sessions/month
a73a8281,Sandra Nicholson,mclaughlinelizabeth@wallace.org,Bowers-Fletcher,Actor,2024-01-08,In Progress,Rejected,2024-07-27,CAE 7000XR Full-Flight,Recurrency Training,2024-07-26,2024-04-08,Weekly,2,7036,3704,1886,Online,Sandy Lee,About member particular real try among team.,Non-Compliant,Network by from first improve.,2024-07-07,2024-04-10,2024-01-13,Avg Usage: 10 sessions/month
ea9830f4,Jillian Wilson,noah65@mcclain-williams.com,Gardner LLC,Public house manager,2021-12-13,Enrolled,Pending,2022-07-24,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-07-03,2024-01-17,Bi-weekly,9,3539,1704,4750,In-person,Mrs. Tamara Hebert MD,Spring television beyond down onto white.,Compliant,Plant run yeah soldier example camera last.,2024-05-31,2024-06-09,2024-08-06,Avg Usage: 2 sessions/month
aebd40f1,Thomas Thompson,gwendolynmassey@yahoo.com,Roberts LLC,Games developer,2020-05-15,In Progress,Rejected,2024-07-05,CAE Prodigy Image Generator,Recurrency Training,2024-07-11,2024-02-25,Monthly,9,7123,2065,1714,In-person,Robin Crawford,Follow information young admit new our believe woman.,Compliant,Maybe artist country difference born dream night.,2024-01-18,2024-03-06,2024-06-23,Avg Usage: 10 sessions/month
657c9d93,Hailey Fowler,xmills@rowe.biz,Oliver-Kaufman,"Optician, dispensing",2021-01-01,Completed,Pending,2021-07-22,CAE 7000XR Full-Flight,Recurrency Training,2024-05-02,2024-04-14,Monthly,5,8657,640,1151,In-person,Andrew Martin,Middle because it must past cold enjoy enter.,Non-Compliant,Bar reduce customer fine day bank.,2024-03-05,2024-03-04,2024-05-06,Avg Usage: 5 sessions/month
03a40614,Kathryn Torres,aliciaarmstrong@gmail.com,West-Hartman,"Designer, textile",2020-11-16,Completed,Rejected,2023-09-15,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-07-26,2024-03-08,Weekly,2,7200,2456,1945,In-person,Luis Acevedo,Same entire woman treatment join.,Non-Compliant,Simply early maintain father provide now.,2024-04-01,2024-04-10,2024-03-15,Avg Usage: 3 sessions/month
1768b8be,Zachary Blackburn,ogarrison@yahoo.com,Stevens Group,Ship broker,2024-06-26,In Progress,Verified,2021-08-24,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-05-11,2024-07-28,Monthly,3,2284,730,4002,Online,Donald Richardson,Movie many list.,Non-Compliant,House matter after imagine financial.,2024-01-29,2024-06-06,2024-03-17,Avg Usage: 1 sessions/month
b6d4e943,Mark Walker,ahoward@cruz-hopkins.com,Juarez-Rose,"Surveyor, planning and development",2023-11-17,In Progress,Rejected,2021-09-17,CAE Prodigy Image Generator,Recurrency Training,2024-05-16,2024-07-27,Monthly,2,2752,4197,2035,In-person,John Hernandez,Water statement meet child network parent parent lot.,Compliant,Option benefit over not conference former.,2024-06-11,2024-06-26,2024-08-06,Avg Usage: 1 sessions/month
8f195471,Bonnie Rice,cynthiamccoy@walsh-alexander.com,Hays PLC,Music therapist,2020-12-17,Completed,Verified,2022-09-26,CAE 7000XR Full-Flight,Recurrency Training,2024-06-05,2024-05-25,Bi-weekly,6,6073,2965,1599,In-person,Charles Hensley,Toward dog culture occur conference.,Compliant,Top just field theory.,2024-03-12,2024-06-24,2024-03-10,Avg Usage: 10 sessions/month
2c705ab3,Michele Phelps,lisa91@gmail.com,Berg-Miller,Teaching laboratory technician,2021-07-25,Enrolled,Pending,2024-07-11,CAE Prodigy Image Generator,Initial Pilot Training,2024-04-20,2024-04-20,Monthly,6,6698,3214,4341,In-person,Kyle Sims,Policy learn bag information.,Compliant,Actually sport away dream tax talk rather.,2024-01-21,2024-03-13,2024-04-24,Avg Usage: 9 sessions/month
feed9e9c,Tyler Ortiz,gkent@brown-gomez.net,Hall Inc,Chartered public finance accountant,2023-11-12,Enrolled,Pending,2020-12-26,CAE Prodigy Image Generator,Initial Pilot Training,2024-05-27,2024-03-07,Bi-weekly,9,3627,4622,525,Online,Robert Matthews,Voice culture past measure bank.,Compliant,Poor nor tax opportunity another anything couple.,2024-02-12,2024-06-04,2024-02-20,Avg Usage: 7 sessions/month
ae8a1e9c,Carolyn Gonzalez,james69@gmail.com,Ho-Horton,"Librarian, public",2024-02-06,Completed,Verified,2020-02-08,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-06-22,2024-04-14,Monthly,1,6870,3095,4382,Online,Cory Wade,Along no piece those trip miss reach reveal.,Compliant,We people religious training game more.,2024-07-23,2024-07-07,2024-03-12,Avg Usage: 7 sessions/month
cec3e9b5,Stephanie Williams,victor48@chavez.net,White-Garcia,Radiation protection practitioner,2024-05-31,In Progress,Rejected,2022-12-26,CAE Simfinity XR Series,Recurrency Training,2024-03-18,2024-05-07,Bi-weekly,1,2813,1963,763,In-person,Lisa Buck,Phone single guess international possible item firm.,Non-Compliant,Example focus child budget begin human.,2024-04-04,2024-03-10,2024-01-03,Avg Usage: 4 sessions/month
717d6973,Elizabeth Williamson PhD,williamssamantha@jones-kelly.com,Cooper PLC,"Psychologist, occupational",2024-03-16,In Progress,Verified,2021-03-03,CAE Prodigy Image Generator,Recurrency Training,2024-05-23,2024-04-22,Bi-weekly,6,8315,2014,1039,Online,Michelle Herrera,Will happen anyone oil hundred and.,Non-Compliant,Attorney special force discussion.,2024-05-14,2024-03-11,2024-03-27,Avg Usage: 5 sessions/month
312d502c,John Odom,hernandezbonnie@gmail.com,Townsend Inc,Physiological scientist,2023-03-06,In Progress,Pending,2023-05-26,CAE Simfinity XR Series,Recurrency Training,2024-03-29,2024-02-17,Bi-weekly,3,3769,2112,3977,In-person,Daniel Sanchez,Natural you garden politics money bar.,Compliant,Several test reveal possible cell huge.,2024-01-11,2024-01-02,2024-02-09,Avg Usage: 2 sessions/month
1353e83a,Jessica Park,connie46@lewis-hurley.com,"Mitchell, Harris and Mccarthy","Engineer, chemical",2021-09-07,Completed,Verified,2021-08-22,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-04-15,2024-07-03,Weekly,7,9187,2981,2344,In-person,Ashlee Dillon DDS,Ball account husband six.,Compliant,Member shoulder contain street.,2024-03-14,2024-04-06,2024-07-28,Avg Usage: 4 sessions/month
c0737302,James Mendoza,hobbskathleen@yahoo.com,Cummings-Harris,Public relations account executive,2020-03-14,Enrolled,Rejected,2024-06-08,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-02-23,2024-06-28,Weekly,1,2373,515,4325,In-person,Charles Davis,Top activity above idea whatever most build.,Non-Compliant,Left nation sing daughter art magazine especially less.,2024-05-27,2024-07-26,2024-06-12,Avg Usage: 10 sessions/month
a125d610,Adrienne Garrett,susanrogers@hotmail.com,"Davies, Rosario and Hoffman",Toxicologist,2022-05-24,Completed,Rejected,2021-01-25,CAE Simfinity XR Series,Initial Pilot Training,2024-02-21,2024-01-31,Bi-weekly,2,2792,3981,3438,In-person,Timothy Garcia MD,Region performance work wear room week military against.,Non-Compliant,Employee build rather budget data several begin.,2024-07-11,2024-05-24,2024-02-02,Avg Usage: 5 sessions/month
126f5f19,Reginald Maynard,hernandezholly@myers.biz,Mcgee Group,Operations geologist,2020-12-19,In Progress,Rejected,2021-06-23,CAE Simfinity XR Series,Recurrency Training,2024-04-18,2024-05-20,Bi-weekly,4,8041,1776,1397,Online,Kathryn Le,Yeah realize east goal reach.,Non-Compliant,Brother say owner voice usually.,2024-06-21,2024-05-22,2024-01-12,Avg Usage: 5 sessions/month
5f21359e,Victoria Robertson,garywhite@carr.net,Thompson-Cohen,"Lecturer, further education",2024-07-18,Enrolled,Pending,2020-10-06,CAE Simfinity XR Series,Initial Pilot Training,2024-02-04,2024-05-16,Weekly,8,2207,2787,3798,Online,Bradley Martinez,Avoid represent right game later.,Compliant,Fine break sell avoid.,2024-06-09,2024-07-27,2024-03-18,Avg Usage: 5 sessions/month
2abecc83,Kimberly Glover,andrewwillis@hotmail.com,Hernandez Ltd,International aid/development worker,2020-07-08,In Progress,Pending,2020-07-17,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-04-18,2024-03-02,Bi-weekly,2,7104,925,4852,Online,Crystal Torres,Experience church require listen worker everything.,Non-Compliant,Pull street board several send measure offer.,2024-06-24,2024-02-26,2024-07-03,Avg Usage: 7 sessions/month
53ad6768,Anthony Young,weisslinda@gmail.com,"Foster, Thomas and Duffy",Private music teacher,2023-02-19,In Progress,Verified,2022-09-11,CAE 7000XR Full-Flight,Initial Pilot Training,2024-06-05,2024-04-13,Monthly,3,4998,2231,2519,Online,Scott Evans,Popular range suffer up night city.,Non-Compliant,Forward film life she tell film.,2024-06-20,2024-03-16,2024-04-29,Avg Usage: 3 sessions/month
68dd0445,Donna Curtis,bruce03@yang.net,Davis-Wallace,Clinical biochemist,2020-12-06,In Progress,Rejected,2021-10-27,CAE Prodigy Image Generator,Initial Pilot Training,2024-07-03,2024-05-21,Bi-weekly,2,3636,550,4029,Online,Lisa Smith,Building floor fear most special serious institution.,Compliant,Already oil father attack add.,2024-07-04,2024-03-14,2024-06-10,Avg Usage: 4 sessions/month
97dc0661,Veronica Moore,paulconley@roberts.com,Sanchez-Lee,"Engineer, structural",2021-03-07,Completed,Verified,2022-01-05,CAE 7000XR Full-Flight,Recurrency Training,2024-03-15,2024-05-12,Weekly,3,6866,2511,3862,In-person,Ashley Newman,Down condition me feeling stuff.,Compliant,Performance rule price entire finally.,2024-02-26,2024-04-01,2024-03-25,Avg Usage: 4 sessions/month
b5c80829,Kathy Fleming,stephaniemckee@hotmail.com,Patel and Sons,Television production assistant,2022-02-03,In Progress,Pending,2022-06-04,CAE Simfinity XR Series,Initial Pilot Training,2024-03-25,2024-05-06,Bi-weekly,1,9260,3421,2538,Online,Justin Doyle,Research threat next great source character.,Compliant,Take find coach process stop.,2024-06-20,2024-07-26,2024-05-21,Avg Usage: 2 sessions/month
8d46a3ff,Monica Dunn,ayershenry@hotmail.com,Wagner-Figueroa,Computer games developer,2024-02-02,Enrolled,Verified,2024-06-03,CAE 7000XR Full-Flight,Recurrency Training,2024-04-30,2024-04-25,Weekly,9,7557,501,1798,Online,Mary Campbell,Some late traditional such relate upon term fast.,Compliant,List west professor leader successful smile.,2024-07-22,2024-03-04,2024-01-14,Avg Usage: 4 sessions/month
7f6a5fac,Jessica Mitchell,justin76@galvan-tucker.net,Jackson-Brown,Purchasing manager,2022-07-15,In Progress,Pending,2020-05-15,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-04-06,2024-07-23,Weekly,4,6468,901,607,In-person,Michael Lowe,Until few performance foot eat huge occur.,Compliant,Why draw serve adult.,2024-02-01,2024-07-16,2024-04-19,Avg Usage: 3 sessions/month
bca8b44c,Brendan Jacobs,wcunningham@powell-scott.org,White and Sons,Mechanical engineer,2024-06-17,Enrolled,Pending,2024-01-18,CAE Prodigy Image Generator,Recurrency Training,2024-03-11,2024-03-25,Weekly,6,3021,2046,3786,Online,Caitlyn Savage,Foot store exactly our five.,Non-Compliant,Draw present determine more young movie.,2024-07-02,2024-05-17,2024-07-08,Avg Usage: 7 sessions/month
34c4a318,Christopher Jones,cummingsrobert@hotmail.com,Welch LLC,Secondary school teacher,2022-02-24,Enrolled,Rejected,2021-03-25,CAE Simfinity XR Series,Recurrency Training,2024-02-24,2024-07-06,Bi-weekly,3,4538,2404,954,In-person,Hunter King,Stand before power design field.,Compliant,Find figure treatment thus share drug story.,2024-02-07,2024-03-06,2024-04-18,Avg Usage: 4 sessions/month
d044c0c6,Eric Rivera,lrogers@cooper.com,Steele Ltd,"Lecturer, higher education",2023-08-08,Enrolled,Rejected,2022-08-19,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-04-19,2024-01-29,Bi-weekly,7,8590,1336,4974,Online,Vincent Maldonado,Citizen positive every series can agency.,Compliant,End science huge lawyer degree remember.,2024-05-31,2024-07-17,2024-01-17,Avg Usage: 1 sessions/month
81b22da5,Dustin Day,kimberlyburns@hotmail.com,Simmons-Smith,"Engineer, building services",2022-02-07,Enrolled,Rejected,2020-06-05,CAE Prodigy Image Generator,Advanced Maneuvers Training,2024-01-25,2024-05-22,Weekly,8,9847,4007,4782,Online,Derek Rodriguez,Have seven lot research but.,Non-Compliant,Oil heavy site.,2024-08-05,2024-03-13,2024-04-26,Avg Usage: 5 sessions/month
16a375d8,Michael Romero,srobinson@barnes.com,Todd-Buchanan,"Engineer, water",2020-12-30,Enrolled,Pending,2022-08-11,CAE 7000XR Full-Flight,Recurrency Training,2024-04-11,2024-03-19,Bi-weekly,9,2832,2683,1883,In-person,Jennifer Johnston,Energy quality including it single it cost.,Non-Compliant,Movement good your forget.,2024-04-01,2024-04-01,2024-07-03,Avg Usage: 7 sessions/month
a1fd35c7,Richard Watson,whitesusan@hotmail.com,Oliver Inc,Adult guidance worker,2023-09-05,Enrolled,Rejected,2022-10-22,CAE Simfinity XR Series,Advanced Maneuvers Training,2024-08-02,2024-01-11,Bi-weekly,6,6796,1188,2067,In-person,Donna Bennett,Impact chance kid really first dark move report.,Non-Compliant,Offer writer ago.,2024-07-31,2024-03-21,2024-05-14,Avg Usage: 10 sessions/month
3d872b54,Carlos Brown,joel41@mendoza-reese.net,Boyle and Sons,Multimedia programmer,2020-09-13,Enrolled,Verified,2021-04-09,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-07-10,2024-06-21,Bi-weekly,2,2907,2240,983,In-person,Alexander Torres,Including drive prevent recent success audience.,Compliant,Ground bit pressure option study several.,2024-01-24,2024-05-13,2024-02-26,Avg Usage: 5 sessions/month
9ec69551,Brian Cortez,carsonmichael@gmail.com,Daniel-Fisher,"Exhibitions officer, museum/gallery",2024-05-15,Completed,Rejected,2023-06-19,CAE Simfinity XR Series,Recurrency Training,2024-01-30,2024-03-10,Monthly,4,6366,4511,1870,Online,Cory Newman,Court benefit ability child.,Non-Compliant,Nice newspaper remember risk.,2024-02-11,2024-06-01,2024-03-06,Avg Usage: 9 sessions/month
117ab295,Hannah Reed DDS,zharvey@thomas-mayer.biz,"Grant, Curtis and Cameron",Chiropractor,2023-03-26,In Progress,Verified,2020-12-29,CAE Simfinity XR Series,Initial Pilot Training,2024-01-10,2024-04-29,Monthly,9,6128,2617,1219,In-person,Barbara Hamilton,Artist population point rich reality opportunity.,Compliant,Seat modern hot religious same amount.,2024-06-17,2024-08-02,2024-01-12,Avg Usage: 7 sessions/month
5681ef50,Scott Thornton,annshort@mendoza-luna.info,Henderson Inc,"Production assistant, radio",2021-02-11,In Progress,Rejected,2021-12-13,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-04-22,2024-05-03,Weekly,8,2255,4760,3402,Online,Robin Mccormick,Hair wrong drop.,Non-Compliant,Sense space teacher remain best explain happen.,2024-05-21,2024-07-05,2024-03-13,Avg Usage: 6 sessions/month
407b47d0,Sandra Gillespie,larsonashley@myers.com,Knight-Woodard,"Scientist, research (life sciences)",2020-07-09,Enrolled,Verified,2020-04-19,CAE Simfinity XR Series,Initial Pilot Training,2024-05-19,2024-05-19,Bi-weekly,3,3454,3598,817,In-person,Henry Soto,Rock major nice city factor understand ball.,Compliant,However action seem center avoid picture threat.,2024-07-21,2024-01-06,2024-02-06,Avg Usage: 2 sessions/month
2f381bc0,Kenneth Estrada,jessicacaldwell@hotmail.com,Henderson-Bennett,Information systems manager,2022-11-16,Completed,Rejected,2020-07-05,CAE 7000XR Full-Flight,Recurrency Training,2024-05-26,2024-02-27,Monthly,5,9546,4116,4196,Online,Heather Murphy DDS,Organization challenge old sound her.,Non-Compliant,Book movie make hard most.,2024-03-04,2024-08-02,2024-01-14,Avg Usage: 2 sessions/month
ad0f139f,Roy Sharp,taylorbernard@hayes.com,Gallagher Inc,"Scientist, biomedical",2020-01-07,Enrolled,Verified,2020-07-18,CAE 7000XR Full-Flight,Initial Pilot Training,2024-03-04,2024-03-15,Bi-weekly,7,5078,522,3508,Online,William Mckinney,Offer table let clear set need.,Compliant,Both member technology change talk.,2024-03-05,2024-05-13,2024-07-24,Avg Usage: 7 sessions/month
d45f1c4c,Ashley Cunningham,baileysteven@herrera-donaldson.com,Yates Inc,Solicitor,2024-01-08,Completed,Verified,2020-04-08,CAE 7000XR Full-Flight,Advanced Maneuvers Training,2024-06-01,2024-08-04,Weekly,4,9021,2794,835,In-person,Anthony Bell,Line include sound rise animal social laugh.,Compliant,For war edge imagine teacher study.,2024-07-24,2024-04-24,2024-03-20,Avg Usage: 1 sessions/month
ccdf81e3,Juan Burnett,thomaswilliam@allen.com,"Grant, Sanford and Hernandez",Actor,2022-12-31,Completed,Verified,2020-09-13,CAE Simfinity XR Series,Initial Pilot Training,2024-04-13,2024-07-17,Monthly,8,4749,2491,1371,Online,Barbara Petty,Response employee community treatment know economic expect.,Compliant,Price become week wait policy thousand.,2024-04-12,2024-06-04,2024-06-25,Avg Usage: 6 sessions/month
